ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,id,inningId
2,1,0,0,0,1,1,2,1
5,0,0,4,0,0,0,5,1
6,0,0,0,0,1,1,6,1
7,0,0,0,0,1,4,7,1
8,0,0,1,0,0,0,8,1
9,0,0,0,0,0,0,9,1
10,4,0,4,0,0,2,10,1
11,0,1,0,0,0,0,11,1
12,0,0,0,0,0,0,12,1
13,0,4,0,1,0,0,13,1
14,0,0,0,1,1Lb,0,14,1
15,0,4,2,0,0,0,15,1
16,0,0,4,0,0,0,16,1
17,0,0,0,0,0,0,17,1
18,1,1,0,1,0,0,18,1
20,1,W,0,0,1,4,20,1
21,0,0,0,0,0,0,21,1
22,0,0,1,0,1,1,22,1
23,0,4,0,0,1,0,23,1
24,0,0,0,0,W,0,24,1
25,0,0,0,0,0,0,25,1
26,0,0,0,0,0,0,26,1
28,6,4,1,0,1,2,28,1
29,1,1,4,0,0,0,29,1
30,1,0,0,0,0,0,30,1
31,4,0,0,6,4,0,31,1
32,1,0,0,1,0,1,32,1
33,0,1,0,1,0,1,33,1
34,1,1,2,0,1,0,34,1
36,0,0,1,1,1,0,36,1
37,0,2,0,0,0,1,37,1
38,0,1,0,2,1,1,38,1
39,0,1,0,1,1,1,39,1
40,0,1,1,0,1,1,40,1
41,6,0,1,0,4,1,41,1
42,W,1,0,0,0,2,42,1
43,0,0,1,0,4,0,43,1
44,0,0,1,4,0,W,44,1
45,1,1,0,0,W,1,45,1
46,0,1,1Lb,6,2,1,46,1
47,1,1,4,0,4,1,47,1
48,1,0,4,1,4,6,48,1
50,W,4,W,1,2,6,50,1
1,0,6,W,4,0,0,51,2
2,0,0,0,0,0,0,52,2
3,0,0,0,0,0,0,53,2
4,1Lb,0,4,1,1,W,54,2
5,0,0,0,0,4,0,55,2
6,0,0,0,0,2,2,56,2
7,0,0,4,0,1Lb,1,57,2
8,0,1,0,0,0,0,58,2
9,1,0,0,1,0,1,59,2
10,0,0,2,0,0,0,60,2
11,1,1,W,0,1,0,61,2
13,1,0,0,0,0,0,63,2
14,0,0,0,0,0,0,64,2
15,1,0,0,0,0,0,65,2
16,0,0,0,0,0,0,66,2
17,0,4,4,0,0,0,67,2
18,0,0,0,0,4,1,68,2
19,1,4,0,1,1,0,69,2
20,0,0,0,0,0,0,70,2
21,0,0,0,0,1,1,71,2
22,0,1,1,1,1,1,72,2
23,1,0,0,1,1,0,73,2
24,1,4,0,0,0,1,74,2
25,0,0,0,1,1,0,75,2
26,1,1,0,0,1,1,76,2
27,1,1,1,0,2,1,77,2
28,1,1,1,1,0,1,78,2
29,1,0,1,0,0,W,79,2
30,0,1,0,4,0,1,80,2
31,0,0,0,1,1,1,81,2
32,1,1,0,0,1,0,82,2
33,4,1,0,W,W,0,83,2
34,1,0,0,1,1,0,84,2
35,1,1,0,1,1,1,85,2
36,1,0,0,1,0,1,86,2
37,1,0,0,0,0,1,87,2
38,0,0,0,1,1,0,88,2
39,1,1,1,0,2,1,89,2
40,0,1,4,1,0,0,90,2
41,1,W,0,0,0,0,91,2
42,0,1,1,6,1,0,92,2
44,1,0,1,1,1,1,94,2
45,0,1,0,1,1,2,95,2
46,1,1,1,1,4,1,96,2
47,0,1,2,0,W,W,97,2
1,0,0,0,0,1,0,99,3
3,0,1,4,1Lb,0,4,101,3
4,4,0,0,1,0,4,102,3
7,1,0,6,0,0,4,105,3
8,0,0,4,2,0,0,106,3
9,1,0,0,1,0,0,107,3
10,0,1,1,0,1,5,108,3
11,2,0,1,0,0,1,109,3
12,2,0,4,1,0,0,110,3
13,0,1,1,0,0,0,111,3
14,0,0,1,0,1,1,112,3
15,0,4,0,0,1,0,113,3
16,0,1,1,0,1,1,114,3
17,0,0,4,0,0,W,115,3
18,1,0,0,0,0,0,116,3
19,1,4,0,0,0,0,117,3
20,4,0,0,0,0,1,118,3
21,1,4,1,1,4,0,119,3
22,0,0,0,1,0,0,120,3
23,1,0,0,4,1,0,121,3
24,0,4,0,1,0,0,122,3
26,0,0,0,1,1,0,124,3
27,1,1,1,1,W,0,125,3
28,0,1,0,0,0,4,126,3
29,0,6,0,0,4,1,127,3
30,0,1,1,6,1,0,128,3
31,1,1,1,1,0,1,129,3
32,1,1,2,1,1,4,130,3
33,1,1Lb,1,1,0,0,131,3
34,1,1,1,1,0,4,132,3
35,2,0,W,4,1,0,133,3
36,4,2,0,0,1,1,134,3
37,2,0,1,0,0,1,135,3
38,0,1,6,0,1,0,136,3
39,2,6,1,4,1,1,137,3
40,0,1,1,1,1,1,138,3
41,1,2,1,1,1,4,139,3
42,1,1,0,0,0,1,140,3
43,1,1B,1,0,2,0,141,3
44,W,0,1,1,1,1,142,3
46,0,W,0,0,1,1,144,3
48,1,2,0,1,4,4,146,3
49,4,1,4,1,6,1,147,3
50,6,2,4,6,2,4,148,3
1,0,0,0,0,0,0,149,4
3,0,0,1,1,1,0,151,4
4,0,0,0,2,0,0,152,4
5,0,0,0,2,1,1,153,4
6,4,0,0,0,2W,1,154,4
7,0,0,1,1,0,0,155,4
9,0,0,1,0,0,0,157,4
10,1,1,W,0,0,0,158,4
11,0,0,0,0,0,0,159,4
12,1,0,1,0,0,0,160,4
13,0,1,0,1,1,0,161,4
14,0,0,W,0,0,4,162,4
15,0,0,0,0,1,0,163,4
16,0,0,W,0,0,0,164,4
17,0,0,4,0,0,0,165,4
18,0,0,1,0,0,0,166,4
19,0,2,4,0,4,0,167,4
21,0,0,0,0,1,2Lb,169,4
22,0,0,0,1,0,0,170,4
23,1,1,1,1,0,1,171,4
25,1,0,1,0,0,0,173,4
26,1,1,1,0,0,1,174,4
27,1,0,0,0,4,0,175,4
28,0,1,1,W,1,0,176,4
29,0,0,0,0,0,1,177,4
30,0,0,1,1,1,4,178,4
31,0,0,0,0,0,0,179,4
32,0,0,0,1,0,0,180,4
33,0,0,1,4Lb,W,0,181,4
34,0,0,0,0,1,0,182,4
36,0,1,0,2,1,0,184,4
37,1,1Lb,4,1,1,0,185,4
38,0,1,0,0,0,0,186,4
39,0,0,1,1,0,0,187,4
40,0,1,0,0,1,W,188,4
1,0,0,1,0,4,0,190,5
3,0,0,0,0,0,1,192,5
4,0,0,0,0,4,0,193,5
5,0,0,0,0,0,0,194,5
6,1,0,0,4,0,0,195,5
7,1,0,0,0,1,0,196,5
10,0,0,4,4,0,0,199,5
11,0,0,W,0,3,1,200,5
14,4,4,4,0,4,4,203,5
15,1,0,W,0,2,1,204,5
16,4,0,0,0,0,0,205,5
18,0,0,0,0,0,0,207,5
20,0,0,0,0,0,0,209,5
21,0,0,0,2,1,2,210,5
22,1,0,0,0,0,0,211,5
23,0,0,0,0,1,0,212,5
24,0,1Lb,1,0,0,0,213,5
25,0,0,1,0,1,0,214,5
26,3,0,W,0,0,1,215,5
27,0,0,0,1,1,0,216,5
28,1,0,0,4,0,0,217,5
29,0,1,0,0,1,1,218,5
30,0,0,0,0,1,1,219,5
31,0,W,1,1,0,0,220,5
32,0,1,0,0,0,4,221,5
33,1,0,0,1Lb,0,0,222,5
34,0,0,1Lb,1,0,1,223,5
35,W,0,0,0,0,0,224,5
36,1,0,2,0,0,0,225,5
37,4,1,0,0,0,0,226,5
38,1,1,0,0,0,0,227,5
39,1,0,1,1,0,1,228,5
40,1,0,0,0,0,1,229,5
41,2,1,W,0,0,1,230,5
42,0,0,0,0,0,0,231,5
43,1,0,0,1,1,0,232,5
44,2,1,0,4,1,1,233,5
45,1,1,0,1,1,0,234,5
46,1,1,1,1,1,6,235,5
47,1,0,W,0,2,6,236,5
48,1,0,1,W,0,0,237,5
49,1,1,W,0,0,0,238,5
50,0,1,2,4,4,1W,239,5
3,1,1,1,0,4,0,242,6
5,0,0,4,6,0,0,244,6
7,2,1Lb,0,1,0,0,246,6
16,0,0,0,0,1,1,255,6
18,0,0,4,0,0,1,257,6
20,1,0,1,1,0,0,259,6
21,0,1,0,2,4,0,260,6
22,0,0,0,0,0,1,261,6
23,0,0,0,0,1,0,262,6
24,0,1,6,1,0,1,263,6
25,0,0,0,0,0,0,264,6
26,0,0,1,0,1,0,265,6
27,0,1,1,0,4,W,266,6
28,1,0,0,0,1,1,267,6
29,1,0,0,3,1,0,268,6
30,1,2,0,0,0,0,269,6
31,1,0,2,0,0,0,270,6
32,0,0,1,0,2,0,271,6
33,0,0,1,1,0,0,272,6
35,2,0,0,0,1,0,274,6
36,4,4,0,1,0,1,275,6
37,0,0,0,0,0,4,276,6
38,1,0,0,0,0,0,277,6
39,1,0,1,0,1,1,278,6
40,0,1,4,1,4,1,279,6
41,1,0,0,1,1,1,280,6
42,0,0,4,0,0,2,281,6
43,1,1,1,1,1,2,282,6
2,0,2,0,0,0,0,285,7
4,2Lb,1,1,0,0,0,287,7
5,0,1,6,0,0,0,288,7
6,1,0,0,0,4,2,289,7
8,4,0,3,1,0,0,291,7
9,0,0,W,0,1,0,292,7
10,1,0,0,0,0,1,293,7
14,0,0,0,0,0,0,297,7
15,4,1Lb,0,0,1,0,298,7
17,0,0,2,0,1,0,300,7
18,0,4,0,0,0,0,301,7
19,0,0,4,2,0,0,302,7
21,0,0,2,0,0,1,304,7
22,0,3,0,1,1,1,305,7
23,0,0,1,0,0,0,306,7
24,1,1,0,0,4,1,307,7
26,1,1,1,0,3,1,309,7
28,0,1,0,0,1,1,311,7
29,0,1,6,0,1,2,312,7
30,0,0,1,1,1,4,313,7
31,1,2,0,1,1,2,314,7
33,1,2,0,1,1,2,316,7
35,2,1,4,1,4,1,318,7
37,1,0,4,0,2,1,320,7
38,1,1,W,0,0,1,321,7
39,1,1,1,0,1,1,322,7
40,4,0,1,1,1,0,323,7
42,4,1,1,4,0,0,325,7
43,W,0,0,0,1,0,326,7
44,1,1,1,4,1,0,327,7
45,2,0,1,1,0,1,328,7
46,2,2,1,1,2,1,329,7
47,0,1,0,1,0,2,330,7
48,4,1,1,1,2,2,331,7
49,W,1,1,4,4,0,332,7
50,0,1,W,2,1,2,333,7
1,0,0,0,0,W,0,334,8
3,0,0,0,0,0,0,336,8
4,W,0,0,0,1,0,337,8
5,0,2,3,0,0,0,338,8
6,0,4,0,2,0,1,339,8
7,0,0,0,1,4,0,340,8
8,W,W,0,4Lb,0,0,341,8
9,0,0,0,1,0,0,342,8
10,0,0,0,0,0,0,343,8
11,0,0,0,0,0,0,344,8
12,0,W,4,0,W,0,345,8
13,0,0,0,0,4,0,346,8
14,0,2,0,0,4,0,347,8
15,0,0,W,0,1,1,348,8
16,0,0,2,0,0,0,349,8
18,0,0,0,0,0,0,351,8
19,0,1,0,4,0,0,352,8
20,0,0,1,0,0,0,353,8
21,0,6,0,1,0,0,354,8
22,0,4,1,0,W,0,355,8
23,0,0,2Lb,1,0,6,356,8
24,4,W,0,0,0,1,357,8
1,0,0,0,0,0,W,359,9
2,0,2,0,0,1,0,360,9
3,0,0,0,0,0,0,361,9
6,1,1,4,0,0,0,364,9
8,3,0,2,0,4,0,366,9
9,0,0,0,0,0,0,367,9
11,0,0,0,W,0,0,369,9
12,0,0,4,0,0,5,370,9
15,0,1,W,0,0,0,373,9
16,0,0,0,0,0,0,374,9
18,0,0,4,0,0,0,376,9
19,0,1,0,1,1,0,377,9
20,0,0,4,0,0,0,378,9
21,0,0,0,0,0,0,379,9
23,0,1,0,0,0,0,381,9
24,4,0,0,4,0,0,382,9
25,0,0,0,1,0,0,383,9
26,0,1,1,2,0,0,384,9
27,0,1,0,0,0,1,385,9
28,0,1,1,0,1,1,386,9
29,0,0,0,0,0,1,387,9
30,1,0,0,1,0,1,388,9
31,0,1,4,2,0,0,389,9
32,0,1,0,1B,0,1,390,9
33,0,1,1,0,1,0,391,9
34,0,1,0,0,1,1,392,9
35,0,1,0,1,0,0,393,9
36,0,1,1,4,0,0,394,9
37,1,1,1,4,1,0,395,9
38,0,0,W,0,0,4,396,9
39,2,1,0,1,1,1,397,9
40,1,0,4,1,1,0,398,9
41,0,0,1,1,0,0,399,9
42,1,0,1,1,2,0,400,9
43,0,1,0,0,1,0,401,9
44,2,4,0,1,4,W,402,9
45,0,0,W,0,0,0,403,9
46,1,1,4,0,1,0,404,9
47,1,0,0,2,1,1,405,9
48,0,4,1,0,1,1,406,9
49,2,2,2,1,0,4,407,9
50,2,1,2,2,2,W,408,9
1,0,4,1,0,0,0,409,10
2,0,4,0,0,0,0,410,10
6,0,0,0,0,0,W,414,10
