id,venueId,toss.elected,toss.winner,team1Id,team2Id,matchDate,matchEndDate
2859,73,Australia who chose to bat,Australia,2808,2809,1975-06-07 11:00:00+00:00,1975-06-07 23:00:00+00:00
2860,40,New Zealand who chose to bat,New Zealand,2810,2811,1975-06-07 11:00:00+00:00,1975-06-07 23:00:00+00:00
2861,71,England who chose to bat,England,2812,2813,1975-06-07 11:00:00+00:00,1975-06-07 23:00:00+00:00
2862,39,West Indies who chose to field,West Indies ,2814,2815,1975-06-07 11:00:00+00:00,1975-06-07 23:00:00+00:00
2863,82,Sri Lanka who chose to field,Sri Lanka,2816,2817,1975-06-11 11:00:00+00:00,1975-06-11 23:00:00+00:00
2864,73,East Africa who chose to bat,South Africa,2818,2819,1975-06-11 11:00:00+00:00,1975-06-11 23:00:00+00:00
2865,70,New Zealand who chose to field,New Zealand,2820,2821,1975-06-11 11:00:00+00:00,1975-06-11 23:00:00+00:00
2866,40,Pakistan who chose to bat,Pakistan,2822,2823,1975-06-11 11:00:00+00:00,1975-06-11 23:00:00+00:00
2867,82,West Indies who chose to field,West Indies ,2824,2825,1975-06-14 11:00:00+00:00,1975-06-14 23:00:00+00:00
2868,40,East Africa who chose to field,South Africa,2826,2827,1975-06-14 11:00:00+00:00,1975-06-14 23:00:00+00:00
2869,39,India who chose to bat,India,2828,2829,1975-06-14 11:00:00+00:00,1975-06-14 23:00:00+00:00
2870,70,Sri Lanka who chose to field,Sri Lanka,2830,2831,1975-06-14 11:00:00+00:00,1975-06-14 23:00:00+00:00
2871,73,Australia who chose to field,Australia,2832,2833,1975-06-18 11:00:00+00:00,1975-06-18 23:00:00+00:00
2872,82,West Indies who chose to field,West Indies ,2834,2835,1975-06-18 11:00:00+00:00,1975-06-18 23:00:00+00:00
2873,71,Australia who chose to field,Australia,2836,2837,1975-06-21 11:00:00+00:00,1975-06-21 23:00:00+00:00
2875,73,Canada who chose to bat,Canada,2838,2839,1979-06-09 11:00:00+00:00,1979-06-09 23:00:00+00:00
2876,71,England who chose to field,England,2840,2841,1979-06-09 11:00:00+00:00,1979-06-09 23:00:00+00:00
2877,40,West Indies who chose to field,West Indies ,2842,2843,1979-06-09 11:00:00+00:00,1979-06-09 23:00:00+00:00
2878,70,New Zealand who chose to field,New Zealand,2844,2845,1979-06-09 11:00:00+00:00,1979-06-09 23:00:00+00:00
2879,70,Australia who chose to field,Australia,2846,2847,1979-06-13 11:00:00+00:00,1979-06-13 23:00:00+00:00
2880,39,Canada who chose to bat,Canada,2848,2849,1979-06-13 11:00:00+00:00,1979-06-13 23:00:00+00:00
2881,73,New Zealand who chose to field,New Zealand,2850,2851,1979-06-13 11:00:00+00:00,1979-06-13 23:00:00+00:00
2883,40,Australia who chose to field,Australia,2852,2853,1979-06-16 11:00:00+00:00,1979-06-16 23:00:00+00:00
