id,Stadium Name,city,country
1,M. A. Chidambaram Stadium,Chennai,India
2,Eden Gardens,Kolkata,India
3,Sawai Mansingh Stadium,Jaipur,India
4,Wankhede Stadium,Mumbai,India
5,M. Chinnaswamy Stadium,Bengaluru,India
6,ACA-VDCA Stadium,Visakhapatnam,India
7,Maharashtra Cricket Association's International Stadium,Pune,India
8,Arun Jaitley Stadium,Delhi,India
9,IS Bindra Stadium,Mohali,India
10,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
11,HPCA Stadium,Dharamsala,India
14,Barabati Stadium,Cuttack,India
17,Holkar Cricket Stadium,Indore,India
18,Brabourne Stadium,Mumbai,India
19,Narendra Modi Stadium,Ahmedabad,India
20,Vidarbha Cricket Association Stadium,Nagpur,India
21,Newlands,Cape Town,South Africa
22,St George's Park,Port Elizabeth,South Africa
23,Kingsmead,Durban,South Africa
24,Supersport Park,Centurion,South Africa
25,Buffalo Park,East London,South Africa
26,New Wanderers Stadium,Johannesburg,South Africa
27,De Beers Diamond Oval,Kimberley,South Africa
33,R Premadasa Stadium,Colombo,Sri Lanka
34,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
35,Pallekele International Cricket Stadium,Pallekele,Sri Lanka
36,Galle International Stadium,Galle,Sri Lanka
37,Dubai International Stadium,Dubai,UAE
38,Emirates Riverside,Chester-le-Street,England
39,Old Trafford,Manchester,England
40,Edgbaston,Birmingham,England
41,The Gabba,Brisbane,Australia
42,Adelaide Oval,Adelaide,Australia
43,WACA,Perth,Australia
44,Saurashtra Cricket Association Stadium,Rajkot,India
45,Nehru Stadium,Kochi,India
46,HEC International Cricket Stadium Complex,Ranchi,India
48,Sydney Cricket Ground,Sydney,Australia
51,Melbourne Cricket Ground,Melbourne,Australia
52,Bellerive Oval,Hobart,Australia
53,Boland Park,Paarl,South Africa
54,JB Marks Oval,Potchefstroom,South Africa
55,JSCA International Cricket Stadium,Ranchi,India
58,Manuka Oval,Canberra,Australia
62,Mangaung Oval,Bloemfontein,South Africa
63,Willowmoore Park,Benoni,South Africa
64,National Cricket Stadium,St George's,West Indies
65,Sir Vivian Richards Stadium,North Sound,West Indies
66,Kensington Oval,Bridgetown,West Indies
68,Cardiff Wales Stadium,Cardiff,Wales
69,The Oval,London ,England
70,Trent Bridge,Nottingham,England
71,Lord's,London,England
72,The Ageas Bowl,Southampton,England
73,Headingley,Leeds,England
74,Queens Sports Club,Bulawayo,Zimbabwe
75,Grange Cricket Club Ground,Edinburgh,Scotland
76,Clontarf Cricket Club Ground,Dublin,Ireland
77,VRA Cricket Ground,Amstelveen,Netherlands
78,Sabina Park,Kingston,West Indies
79,Queen's Park Oval,Port of Spain,West Indies
81,Anglesea Road,Dublin,Ireland
82,The Oval,London,England
84,Harare Sports Club,Harare,Zimbabwe
85,Mannofield Park,Aberdeen,Scotland
87,Wanderers Cricket Ground,Windhoek,Namibia
